siteid,sitename,siteengname,damname,county,township,twd97lon,twd97lat,twd97tm2x,twd97tm2y,sampledate,samplelayer,sampledepth,itemname,itemengname,itemengabbreviation,itemvalue,itemunit,note
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-07-19 10:09:00",表水,0.5,總硬度,"Total Hardness",TH,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-07-19 10:09:00",表水,0.5,總氮,"Total Nitrogen",TN,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-07-19 10:09:00",表水,0.5,亞硝酸鹽氮,Nitrite-Nitrogen,NO2_N,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-07-19 10:09:00",表水,0.5,硝酸鹽氮,Nitrate-Nitrogen,NO3_N,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-07-19 10:09:00",表水,0.5,總凱氏氮,TKN,TKN,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-07-19 10:09:00",表水,0.5,有機氮,Organic-Nitrogen,Norg,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-06-13 10:24:00",表水,0.5,正磷酸鹽,PO4-P,PO4,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-06-13 10:24:00",表水,0.5,溶氧(滴定法),"Dissolved Oxygen",DO2,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-06-13 10:24:00",表水,0.5,總鹼度,Alkalinity,TAlk,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-06-13 10:24:00",表水,0.5,總硬度,"Total Hardness",TH,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-06-13 10:24:00",表水,0.5,總氮,"Total Nitrogen",TN,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-06-13 10:24:00",表水,0.5,亞硝酸鹽氮,Nitrite-Nitrogen,NO2_N,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-06-13 10:24:00",表水,0.5,硝酸鹽氮,Nitrate-Nitrogen,NO3_N,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-06-13 10:24:00",表水,0.5,總凱氏氮,TKN,TKN,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-06-13 10:24:00",表水,0.5,有機氮,Organic-Nitrogen,Norg,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-05-16 10:25:00",表水,0.5,正磷酸鹽,PO4-P,PO4,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-05-16 10:25:00",表水,0.5,溶氧(滴定法),"Dissolved Oxygen",DO2,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-05-16 10:25:00",表水,0.5,總鹼度,Alkalinity,TAlk,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-05-16 10:25:00",表水,0.5,總硬度,"Total Hardness",TH,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-05-16 10:25:00",表水,0.5,亞硝酸鹽氮,Nitrite-Nitrogen,NO2_N,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-05-16 10:25:00",表水,0.5,硝酸鹽氮,Nitrate-Nitrogen,NO3_N,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-05-16 10:25:00",表水,0.5,總凱氏氮,TKN,TKN,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-05-16 10:25:00",表水,0.5,有機氮,Organic-Nitrogen,Norg,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-04-18 10:09:00",表水,0.5,正磷酸鹽,PO4-P,PO4,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-04-18 10:09:00",表水,0.5,溶氧(滴定法),"Dissolved Oxygen",DO2,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-04-18 10:09:00",表水,0.5,總鹼度,Alkalinity,TAlk,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-04-18 10:09:00",表水,0.5,總硬度,"Total Hardness",TH,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-04-18 10:09:00",表水,0.5,總氮,"Total Nitrogen",TN,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-04-18 10:09:00",表水,0.5,亞硝酸鹽氮,Nitrite-Nitrogen,NO2_N,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-04-18 10:09:00",表水,0.5,硝酸鹽氮,Nitrate-Nitrogen,NO3_N,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-04-18 10:09:00",表水,0.5,總凱氏氮,TKN,TKN,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2022-04-18 10:09:00",表水,0.5,有機氮,Organic-Nitrogen,Norg,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,葉綠素a,Chlorophyl-A,Chl_a,-,μg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,總磷,Total-Phosphate,TP,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,正磷酸鹽,PO4-P,PO4,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,溶氧飽和度,"Dissolved Oxygen Saturation",DOS,-,%,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,溶氧(滴定法),"Dissolved Oxygen",DO2,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,總鹼度,Alkalinity,TAlk,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,總硬度,"Total Hardness",TH,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,總氮,"Total Nitrogen",TN,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,亞硝酸鹽氮,Nitrite-Nitrogen,NO2_N,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,硝酸鹽氮,Nitrate-Nitrogen,NO3_N,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,總凱氏氮,TKN,TKN,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,有機氮,Organic-Nitrogen,Norg,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,氨氮,NH3-N,NH3_N,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,總有機碳,"Total Organic Carbon",TOC,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,化學需氧量,"Chemical Oxygen Demand",COD,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,溶氧(電極法),"Dissolved Oxygen",DO,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,懸浮固體,"Suspended Solid",SS,-,mg/L,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,氣溫,Temperature,TMP,-,℃,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,採樣深度,"Sampling Depth",SampleDepth,-,m,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,導電度,Conductivity,EC,-,μmho/cm25℃,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,濁度,Turbidity,TB,-,NTU,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,酸鹼值,pH,pH,-," ",
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,透明度,Transparency,SD,-,m,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,水溫,"Water Temperature",WT,-,℃,
2142,霧社水庫三,"Wu-She Reservoir III",霧社水庫,南投縣,,121.1364720,24.0012880,263884.76,2655172.51,"2020-12-07 09:00:00",表水,,卡爾森指數,"Carlson Trophic State Index",CTSI,-,,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-12-06 10:26:00",底水,15.8,正磷酸鹽,PO4-P,PO4,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-12-06 10:26:00",底水,15.8,溶氧(滴定法),"Dissolved Oxygen",DO2,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-12-06 10:26:00",底水,15.8,總鹼度,Alkalinity,TAlk,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-12-06 10:26:00",底水,15.8,總硬度,"Total Hardness",TH,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-12-06 10:26:00",底水,15.8,總氮,"Total Nitrogen",TN,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-12-06 10:26:00",底水,15.8,亞硝酸鹽氮,Nitrite-Nitrogen,NO2_N,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-12-06 10:26:00",底水,15.8,硝酸鹽氮,Nitrate-Nitrogen,NO3_N,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-12-06 10:26:00",底水,15.8,總凱氏氮,TKN,TKN,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-12-06 10:26:00",底水,15.8,有機氮,Organic-Nitrogen,Norg,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-12-06 10:26:00",底水,15.8,透明度,Transparency,SD,-,m,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-12-06 10:26:00",底水,15.8,卡爾森指數,"Carlson Trophic State Index",CTSI,-,,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-12-06 10:26:00",表水,0.5,正磷酸鹽,PO4-P,PO4,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-12-06 10:26:00",表水,0.5,溶氧(滴定法),"Dissolved Oxygen",DO2,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-12-06 10:26:00",表水,0.5,總鹼度,Alkalinity,TAlk,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-12-06 10:26:00",表水,0.5,總硬度,"Total Hardness",TH,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-12-06 10:26:00",表水,0.5,總氮,"Total Nitrogen",TN,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-12-06 10:26:00",表水,0.5,亞硝酸鹽氮,Nitrite-Nitrogen,NO2_N,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-12-06 10:26:00",表水,0.5,硝酸鹽氮,Nitrate-Nitrogen,NO3_N,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-12-06 10:26:00",表水,0.5,總凱氏氮,TKN,TKN,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-12-06 10:26:00",表水,0.5,有機氮,Organic-Nitrogen,Norg,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-10-17 10:41:00",底水,16.0,正磷酸鹽,PO4-P,PO4,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-10-17 10:41:00",底水,16.0,溶氧(滴定法),"Dissolved Oxygen",DO2,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-10-17 10:41:00",底水,16.0,總鹼度,Alkalinity,TAlk,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-10-17 10:41:00",底水,16.0,總硬度,"Total Hardness",TH,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-10-17 10:41:00",底水,16.0,總氮,"Total Nitrogen",TN,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-10-17 10:41:00",底水,16.0,亞硝酸鹽氮,Nitrite-Nitrogen,NO2_N,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-10-17 10:41:00",底水,16.0,硝酸鹽氮,Nitrate-Nitrogen,NO3_N,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-10-17 10:41:00",底水,16.0,總凱氏氮,TKN,TKN,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-10-17 10:41:00",底水,16.0,有機氮,Organic-Nitrogen,Norg,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-10-17 10:41:00",底水,16.0,透明度,Transparency,SD,-,m,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-10-17 10:41:00",底水,16.0,卡爾森指數,"Carlson Trophic State Index",CTSI,-,,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-10-17 10:41:00",表水,0.5,正磷酸鹽,PO4-P,PO4,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-10-17 10:41:00",表水,0.5,溶氧(滴定法),"Dissolved Oxygen",DO2,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-10-17 10:41:00",表水,0.5,總鹼度,Alkalinity,TAlk,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-10-17 10:41:00",表水,0.5,總硬度,"Total Hardness",TH,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-10-17 10:41:00",表水,0.5,總氮,"Total Nitrogen",TN,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-10-17 10:41:00",表水,0.5,亞硝酸鹽氮,Nitrite-Nitrogen,NO2_N,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-10-17 10:41:00",表水,0.5,硝酸鹽氮,Nitrate-Nitrogen,NO3_N,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-10-17 10:41:00",表水,0.5,總凱氏氮,TKN,TKN,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-10-17 10:41:00",表水,0.5,有機氮,Organic-Nitrogen,Norg,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-09-15 10:46:00",底水,13.6,正磷酸鹽,PO4-P,PO4,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-09-15 10:46:00",底水,13.6,溶氧(滴定法),"Dissolved Oxygen",DO2,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-09-15 10:46:00",底水,13.6,總鹼度,Alkalinity,TAlk,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-09-15 10:46:00",底水,13.6,總硬度,"Total Hardness",TH,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-09-15 10:46:00",底水,13.6,總氮,"Total Nitrogen",TN,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-09-15 10:46:00",底水,13.6,亞硝酸鹽氮,Nitrite-Nitrogen,NO2_N,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-09-15 10:46:00",底水,13.6,硝酸鹽氮,Nitrate-Nitrogen,NO3_N,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-09-15 10:46:00",底水,13.6,總凱氏氮,TKN,TKN,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-09-15 10:46:00",底水,13.6,有機氮,Organic-Nitrogen,Norg,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-09-15 10:46:00",底水,13.6,透明度,Transparency,SD,-,m,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-09-15 10:46:00",底水,13.6,卡爾森指數,"Carlson Trophic State Index",CTSI,-,,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-09-15 10:46:00",表水,0.5,正磷酸鹽,PO4-P,PO4,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-09-15 10:46:00",表水,0.5,溶氧(滴定法),"Dissolved Oxygen",DO2,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-09-15 10:46:00",表水,0.5,總鹼度,Alkalinity,TAlk,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-09-15 10:46:00",表水,0.5,總硬度,"Total Hardness",TH,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-09-15 10:46:00",表水,0.5,總氮,"Total Nitrogen",TN,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-09-15 10:46:00",表水,0.5,亞硝酸鹽氮,Nitrite-Nitrogen,NO2_N,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-09-15 10:46:00",表水,0.5,硝酸鹽氮,Nitrate-Nitrogen,NO3_N,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-09-15 10:46:00",表水,0.5,總凱氏氮,TKN,TKN,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-09-15 10:46:00",表水,0.5,有機氮,Organic-Nitrogen,Norg,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-08-15 10:24:00",底水,9.3,正磷酸鹽,PO4-P,PO4,-,mg/L,
2141,霧社水庫二,"Wu-She Reservoir II",霧社水庫,南投縣,,121.1361450,23.9927720,263852.40,2654229.36,"2022-08-15 10:24:00",底水,9.3,溶氧(滴定法),"Dissolved Oxygen",DO2,-,mg/L,
